PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
Mangaldoi,8,GEN,Assam,Dilip Saikia,Bharatiya Janta Party,"17,23,812","15,06,107",0.884,"1,38,545",0.092
Mathura,17,GEN,Uttar Pradesh [2000 Onwards],Hema Malini,Bharatiya Janta Party,"17,48,275","11,02,731",0.634,"2,93,471",0.266
Mathurapur,20,SC,West Bengal,Choudhury Mohan Jatua,All India Trinamool Congress,"18,10,407","14,01,953",0.778,"2,03,974",0.145
Maval,33,GEN,Maharashtra,Shrirang Appa Chandu Barne,Shiv Sena,"21,75,681","13,68,872",0.636,"2,15,913",0.158
Mavelikkara,16,SC,Kerala,Kodikunnil Suresh,Indian National Congress,"12,64,914","9,71,035",0.772,61138,0.063
Mayiladuthurai,28,GEN,Tamil Nadu,Ramalingam. S,Dravida Munetra Kazhagam,"14,66,813","10,97,243",0.754,"2,61,314",0.238
Mayurbhanj,5,ST,Orissa,Bishweswar Tudu,Bharatiya Janta Party,"14,37,970","11,50,357",0.815,25256,0.022
Medak,6,GEN,Telangana,Kotha Prabhakar Reddy,Telangana Rashtra Samithi,"15,14,728","11,50,223",0.77,"3,16,427",0.275
Medinipur,34,GEN,West Bengal,Dilip Ghosh,Bharatiya Janta Party,"18,15,330","14,09,815",0.785,88952,0.063
Meerut,10,GEN,Uttar Pradesh [2000 Onwards],Rajendra Agarwal,Bharatiya Janta Party,"18,17,780","12,16,413",0.673,4729,0.004
Mirzapur,79,GEN,Uttar Pradesh [2000 Onwards],Anupriya Singh Patel,Apna Dal (Soneylal),"18,05,890","11,08,965",0.623,"2,32,008",0.209
Misrikh,32,SC,Uttar Pradesh [2000 Onwards],Ashok Kumar Rawat,Bharatiya Janta Party,"17,62,049","10,26,668",0.588,"1,00,672",0.098
Mizoram,1,ST,Mizoram,C Lalrosanga,Mizo National Front,"7,25,057","4,99,621",0.693,8140,0.016
Mohanlalganj,34,SC,Uttar Pradesh [2000 Onwards],Kaushal Kishore,Bharatiya Janta Party,"19,15,170","12,69,040",0.668,90229,0.071
Moradabad,6,GEN,Uttar Pradesh [2000 Onwards],Dr. S.T. Hasan,Samajwadi Party,"18,86,615","12,82,206",0.683,97878,0.076
Morena,1,GEN,Madhya Pradesh [2000 Onwards],Narendra Singh Tomar,Bharatiya Janta Party,"17,39,025","11,37,290",0.655,"1,13,341",0.1
Mumbai North,26,GEN,Maharashtra,Gopal Shetty,Bharatiya Janta Party,"15,63,706","9,89,759",0.641,"4,65,247",0.47
