PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
Sambalpur,3,GEN,Orissa,Nitesh Ganga Deb,Bharatiya Janta Party,"13,99,694","11,24,455",0.813,9162,0.008
Sambhal,8,GEN,Uttar Pradesh [2000 Onwards],Dr. Shafiqur Rehman Barq,Samajwadi Party,"17,82,261","11,83,469",0.668,"1,74,826",0.148
Sangli,44,GEN,Maharashtra,Sanjaykaka Patil,Bharatiya Janta Party,"14,24,936","11,89,958",0.84,"1,64,352",0.138
Sangrur,12,GEN,Punjab,Bhagwant Mann,Aam Aadmi Party,"15,01,950","11,05,888",0.741,"1,10,211",0.1
Sant Kabir Nag,62,GEN,Uttar Pradesh [2000 Onwards],Praveen Kumar Nishad,Bharatiya Janta Party,"19,35,219","10,63,390",0.556,35749,0.034
Saran,20,GEN,Bihar [2000 Onwards],Rajiv Pratap Rudy,Bharatiya Janta Party,"16,55,736","9,41,656",0.586,"1,38,429",0.147
Sarguja,1,ST,Chhattisgarh,Renuka Singh Saruta,Bharatiya Janta Party,"16,17,451","12,80,689",0.81,"1,57,873",0.123
Sasaram,34,SC,Bihar [2000 Onwards],Chhedi Paswan,Bharatiya Janta Party,"17,71,935","9,74,749",0.561,"1,65,745",0.17
Satara,45,GEN,Maharashtra,Shrimant Chh. Udayanraje Pratapsinhmaharaj Bhonsle,Nationalist Congress Party,"17,53,567","11,15,434",0.641,"1,26,528",0.113
Satna,9,GEN,Madhya Pradesh [2000 Onwards],Ganesh Singh,Bharatiya Janta Party,"15,33,662","11,13,656",0.728,"2,31,473",0.208
Secundrabad,8,GEN,Telangana,G . Kishan Reddy,Bharatiya Janta Party,"18,90,049","9,15,106",0.489,62114,0.068
Shahdol,12,ST,Madhya Pradesh [2000 Onwards],Himadri Singh,Bharatiya Janta Party,"16,26,916","12,37,858",0.773,"4,03,333",0.326
Shahjahanpur,27,SC,Uttar Pradesh [2000 Onwards],Arun Kumar Sagar,Bharatiya Janta Party,"20,13,411","11,86,157",0.594,"2,68,418",0.226
Sheohar,4,GEN,Bihar [2000 Onwards],Rama Devi,Bharatiya Janta Party,"16,60,635","10,04,559",0.609,"3,40,360",0.339
Shillong,1,ST,Meghalaya,Vincent H. Pala,Indian National Congress,"11,54,272","7,84,190",0.683,"1,52,433",0.194
Shimla,4,SC,Himachal Pradesh,Suresh Kumar Kashyap,Bharatiya Janta Party,"11,53,363","9,13,608",0.799,"3,27,515",0.358
Shimoga,14,GEN,Karnataka,B.Y.Raghavendra.,Bharatiya Janta Party,"16,40,421","12,83,577",0.787,"2,23,360",0.174
Shirdi,38,SC,Maharashtra,Sadashiv Kisan Lokhande,Shiv Sena,"15,24,878","10,29,362",0.679,"1,20,195",0.117
Shirur,36,GEN,Maharashtra,Dr. Amol Ramsing Kolhe,Nationalist Congress Party,"20,45,438","12,93,117",0.635,58483,0.045
Shrawasti,58,GEN,Uttar Pradesh [2000 Onwards],Ram Shiromani,Bahujan Samaj Party,"18,68,891","9,97,007",0.543,5320,0.005
Sidhi,11,GEN,Madhya Pradesh [2000 Onwards],Riti Pathak,Bharatiya Janta Party,"18,22,205","12,82,705",0.707,"2,86,524",0.223
Sikar,5,GEN,Rajasthan,Sumedhanand Saraswati,Bharatiya Janta Party,"19,77,129","13,26,969",0.675,"2,97,156",0.224
Sikkim,1,GEN,Sikkim,Indra Hang Subba,Sikkim Krantikari Morcha,"4,10,317","3,51,746",0.863,12433,0.035
Silchar,2,GEN,Assam,Rajdeep Roy,Bharatiya Janta Party,"10,02,420","9,49,696",0.956,81596,0.086
Singhbhum,10,ST,Jharkhand,Geeta Kora,Indian National Congress,"12,30,774","8,79,329",0.734,72155,0.082
Sirsa,3,SC,Haryana,Sunita Duggal,Bharatiya Janta Party,"17,40,188","13,69,486",0.79,"3,09,918",0.226
Sitamarhi,5,GEN,Bihar [2000 Onwards],Sunil Kumar Pintu,Janata Dal (United),"17,38,001","10,38,849",0.604,"2,50,539",0.241
Sitapur,30,GEN,Uttar Pradesh [2000 Onwards],Rajesh Verma,Bharatiya Janta Party,"16,53,132","10,64,521",0.649,"1,00,833",0.095
Sivaganga,31,GEN,Tamil Nadu,Karti P Chidambaram,Indian National Congress,"15,29,700","10,84,468",0.715,"3,32,244",0.306
Siwan,18,GEN,Bihar [2000 Onwards],Kavita Singh,Janata Dal (United),"17,80,670","9,84,810",0.558,"1,16,958",0.119
Solapur,42,SC,Maharashtra,Shri. Sha. Bra. Dr. Jai Sidheshwar Shivachary Mahaswamiji,Bharatiya Janta Party,"17,47,242","10,84,514",0.624,"1,58,608",0.146
Sonipat,6,GEN,Haryana,Ramesh Chander Kaushik,Bharatiya Janta Party,"14,93,894","11,29,532",0.758,"1,64,864",0.146
South Delhi,7,GEN,Delhi [1977 Onwards],Badri Narain Sinha,Bharatiya Janta Party,"17,52,741","12,14,222",0.696,"3,67,043",0.302
South Goa,2,GEN,Goa,Cosme Francisco Caitano Sardinha,Indian National Congress,"5,72,200","4,24,575",0.752,9755,0.023
Srerampur,27,GEN,West Bengal,Kalyan Banerjee,All India Trinamool Congress,"19,83,013","14,01,705",0.717,98536,0.07
Srikakulam,2,,Andhra Pradesh [2014 Onwards],Kinjarapu Ram Mohan Naidu,Telugu Desam,"14,10,763","11,57,329",0.839,6653,0.006
Srinagar,2,,Jammu & Kashmir,Farooq Abdullah,Jammu & Kashmir National Conference,"12,05,233","1,86,832",0.156,70050,0.375
Sriperumbudur,5,GEN,Tamil Nadu,Baalu.T.R.,Dravida Munetra Kazhagam,"21,76,499","14,06,782",0.657,"5,07,955",0.361
Sultanpur,38,GEN,Uttar Pradesh [2000 Onwards],Maneka Sanjai Gandhi,Bharatiya Janta Party,"17,39,538","10,00,316",0.581,14526,0.015
Sundargarh,2,ST,Orissa,Jual Oram,Bharatiya Janta Party,"15,08,886","11,00,129",0.738,"2,23,065",0.203
Supaul,8,GEN,Bihar [2000 Onwards],Dileshwar Kamait,Janata Dal (United),"16,80,576","11,10,805",0.667,"2,66,853",0.24
Surat,24,GEN,Gujarat,Darshana Vikram Jardosh,Bharatiya Janta Party,"16,06,425","10,68,412",0.672,"5,48,230",0.513
Surendranagar,9,GEN,Gujarat,Dr. Munjapara Mahendrabhai,Bharatiya Janta Party,"18,12,702","10,77,726",0.599,"2,77,437",0.257
Tamluk,30,GEN,West Bengal,Adhikari Dibyendu,All India Trinamool Congress,"18,39,886","14,46,499",0.792,"1,90,165",0.131
Tehri Garhwal,1,GEN,Uttarakhand,Mala Rajya Laxmi Shah,Bharatiya Janta Party,"14,39,343","8,76,069",0.613,"3,00,586",0.343
Tenkasi,37,SC,Tamil Nadu,Dhanush.M.Kumar,Dravida Munetra Kazhagam,"14,72,742","10,65,569",0.733,"1,20,286",0.113
Tezpur,9,GEN,Assam,Pallab Lochan Das,Bharatiya Janta Party,"14,37,189","11,90,196",0.839,"2,42,841",0.204
Thane,25,GEN,Maharashtra,Rajan Baburao Vichare,Shiv Sena,"21,78,348","11,70,518",0.547,"4,12,145",0.352
Thanjavur,30,GEN,Tamil Nadu,"Palanimanickam,s.S.",Dravida Munetra Kazhagam,"14,43,417","10,59,223",0.744,"3,68,129",0.348
Theni,33,GEN,Tamil Nadu,"Raveendranath Kumar, P",All India Anna Dravida Munnetra Kazhagam,"18,00,597","11,73,489",0.658,76693,0.065
Thiruvallur,1,SC,Tamil Nadu,Dr.K.Jayakumar,Indian National Congress,"18,82,738","14,08,189",0.758,"3,56,955",0.253
Thiruvananthap,20,GEN,Kerala,Dr. Shashi Tharoor,Indian National Congress,"13,30,409","10,10,180",0.763,99989,0.099
Thoothukkudi,36,GEN,Tamil Nadu,Kanimozhi Karunanidhi,Dravida Munetra Kazhagam,"14,02,826","9,91,263",0.713,"3,47,209",0.35
Thrissur,10,GEN,Kerala,T. N. Prathapan,Indian National Congress,"12,68,671","10,41,869",0.825,93633,0.09
Tikamgarh,6,SC,Madhya Pradesh [2000 Onwards],Dr Virendra Kumar,Bharatiya Janta Party,"17,17,393","10,96,712",0.645,"3,48,059",0.317
Tiruchirappall,24,GEN,Tamil Nadu,Thirunavukkarasar. Su,Indian National Congress,"14,89,425","10,48,062",0.713,"4,59,286",0.438
Tirunelveli,38,GEN,Tamil Nadu,Gnanathiraviam S,Dravida Munetra Kazhagam,"15,26,692","10,39,761",0.688,"1,85,457",0.178
Tirupati,23,,Andhra Pradesh [2014 Onwards],Balli Durga Prasad Rao,Yuvajana Sramika Rythu Congress Party,"15,09,361","13,13,515",0.887,"2,28,376",0.174
Tiruppur,18,GEN,Tamil Nadu,"Subbarayan, K.",Communist Party Of India,"14,90,562","11,19,584",0.766,93368,0.083
Tiruvannamalai,11,GEN,Tamil Nadu,Annadurai C N,Dravida Munetra Kazhagam,"14,31,287","11,51,729",0.813,"3,04,187",0.264
Tonk-Sawai Mad,12,GEN,Rajasthan,Sukhbir Singh Jaunapuria,Bharatiya Janta Party,"18,93,418","12,33,458",0.656,"1,11,291",0.09
Tripura East,2,ST,Tripura,Rebati Tripura,Bharatiya Janta Party,"11,73,233","10,45,417",0.901,"2,04,290",0.195
Tripura West,1,GEN,Tripura,Pratima Bhoumik,Bharatiya Janta Party,"12,85,794","11,07,755",0.871,"3,05,689",0.276
Tumkur,19,GEN,Karnataka,G. S. Basavaraj,Bharatiya Janta Party,"15,84,884","12,44,858",0.792,13339,0.011
Tura,2,ST,Meghalaya,Agatha K. Sangma,National People's Party,"6,92,353","5,83,041",0.851,64030,0.11
Udaipur,19,ST,Rajasthan,Arjunlal Meena,Bharatiya Janta Party,"20,08,400","14,54,518",0.738,"4,37,914",0.301
Udhampur,5,,Jammu & Kashmir,Dr. Jitendra Singh,Bharatiya Janta Party,"14,90,244","11,80,123",0.797,"3,57,252",0.303
Udupi Chikmaga,15,GEN,Karnataka,Shobha Karandlaje,Bharatiya Janta Party,"14,95,439","11,51,012",0.775,"3,49,599",0.304
Ujiarpur,22,GEN,Bihar [2000 Onwards],Nityanand Rai,Bharatiya Janta Party,"15,88,209","9,69,284",0.619,"2,77,278",0.286
Ujjain,22,SC,Madhya Pradesh [2000 Onwards],Anil Firojiya,Bharatiya Janta Party,"16,24,122","12,52,511",0.778,"3,65,637",0.292
Uluberia,26,GEN,West Bengal,Sajda Ahmed,All India Trinamool Congress,"17,75,607","13,11,099",0.744,"2,15,359",0.164
Unnao,33,GEN,Uttar Pradesh [2000 Onwards],Swami Sakshi Ji Maharaj,Bharatiya Janta Party,"21,60,607","12,37,076",0.578,"4,00,956",0.324
Uttara Kannada,12,GEN,Karnataka,Anantkumar Hegde,Bharatiya Janta Party,"15,35,047","11,53,480",0.762,"4,79,649",0.416
Vadakara,3,GEN,Kerala,K. Muraleedharan,Indian National Congress,"12,07,556","10,65,619",0.885,84663,0.079
Vadodara,20,GEN,Gujarat,Ranjanben Bhatt,Bharatiya Janta Party,"17,07,484","12,22,348",0.726,"5,89,177",0.482
Vaishali,16,GEN,Bihar [2000 Onwards],Veena Devi (W/o Dinesh Prasad Singh),Lok Jan Shakti Party,"17,21,658","10,74,730",0.63,"2,34,584",0.218
Valmiki Nagar,1,GEN,Bihar [2000 Onwards],Baidyanath Prasad Mahto,Janata Dal (United),"16,41,701","10,32,090",0.65,"3,54,616",0.344
Valsad,26,ST,Gujarat,Dr.K.C.Patel,Bharatiya Janta Party,"16,28,352","12,60,377",0.786,"3,53,797",0.281
Varanasi,77,GEN,Uttar Pradesh [2000 Onwards],Narendra Modi,Bharatiya Janta Party,"17,84,093","10,60,476",0.597,"4,79,505",0.452
Vidisha,18,GEN,Madhya Pradesh [2000 Onwards],Ramakant Bhargava,Bharatiya Janta Party,"17,00,678","12,50,244",0.74,"5,03,084",0.402
Vijayawada,12,,Andhra Pradesh [2014 Onwards],Kesineni Srinivas (NANI),Telugu Desam,"13,62,762","12,77,711",0.944,8726,0.007
Viluppuram,13,SC,Tamil Nadu,Ravikumar D,Dravida Munetra Kazhagam,"14,00,389","11,35,540",0.819,"1,28,068",0.113
Virudhunagar,34,GEN,Tamil Nadu,"Manickam Tagore, B.",Indian National Congress,"14,61,240","10,74,735",0.747,"1,54,554",0.144
Visakhapatnam,4,,Andhra Pradesh [2014 Onwards],M V V Satyanarayana,Yuvajana Sramika Rythu Congress Party,"15,34,088","12,39,754",0.819,4414,0.004
Vizianagaram,3,,Andhra Pradesh [2014 Onwards],Bellana Chandra Sekhar,Yuvajana Sramika Rythu Congress Party,"13,80,455","12,17,890",0.904,48036,0.039
Warangal,15,SC,Telangana,Dayakar Pasunoori,Telangana Rashtra Samithi,"15,78,335","10,61,645",0.685,"3,50,298",0.33
Wardha,8,GEN,Maharashtra,Ramdas Chandrabhanji Tadas,Bharatiya Janta Party,"16,79,788","10,72,570",0.642,"1,87,191",0.175
Wayanad,4,GEN,Kerala,Rahul Gandhi,Indian National Congress,"13,06,141","10,92,197",0.838,"4,31,770",0.395
West Delhi,6,GEN,Delhi [1977 Onwards],Sant Prasad Sinha,Bharatiya Janta Party,"20,39,410","14,41,601",0.711,"5,78,486",0.401
Yavatmal-Washi,14,GEN,Maharashtra,Bhavana Pundlikrao Gawali,Shiv Sena,"18,12,059","11,74,220",0.65,"1,17,939",0.1
Zahirabad,5,GEN,Telangana,B.B.Patil,Telangana Rashtra Samithi,"14,11,026","10,44,365",0.748,6229,0.006
